| №   | Дата/время         | Температура | Осадки (мм)  |
|-----|--------------------|-------------|--------------|
| 1   | 2025-05-09T00:00   | 4,1         | 0,00         |
| 2   | 2025-05-09T01:00   | 3,5         | 0,00         |
| 3   | 2025-05-09T02:00   | 3,0         | 0,00         |
| 4   | 2025-05-09T03:00   | 2,5         | 0,00         |
| 5   | 2025-05-09T04:00   | 2,7         | 0,00         |
| 6   | 2025-05-09T05:00   | 3,0         | 0,00         |
| 7   | 2025-05-09T06:00   | 4,3         | 0,00         |
| 8   | 2025-05-09T07:00   | 6,5         | 0,00         |
| 9   | 2025-05-09T08:00   | 8,9         | 0,00         |
| 10  | 2025-05-09T09:00   | 11,1        | 0,00         |
| 11  | 2025-05-09T10:00   | 12,0        | 0,00         |
| 12  | 2025-05-09T11:00   | 12,9        | 0,00         |
| 13  | 2025-05-09T12:00   | 13,3        | 0,00         |
| 14  | 2025-05-09T13:00   | 13,3        | 0,00         |
| 15  | 2025-05-09T14:00   | 13,3        | 0,00         |
| 16  | 2025-05-09T15:00   | 13,3        | 0,00         |
| 17  | 2025-05-09T16:00   | 12,9        | 0,00         |
| 18  | 2025-05-09T17:00   | 12,2        | 0,10         |
| 19  | 2025-05-09T18:00   | 11,1        | 0,20         |
| 20  | 2025-05-09T19:00   | 10,4        | 0,00         |
| 21  | 2025-05-09T20:00   | 9,2         | 0,00         |
| 22  | 2025-05-09T21:00   | 8,0         | 0,00         |
| 23  | 2025-05-09T22:00   | 7,3         | 0,00         |
| 24  | 2025-05-09T23:00   | 6,6         | 0,00         |
